id;marche;SOURCE;DT_UPDATE;DT_ARRETE;NU_CNT;NOM_CLI;CD_INT_STC;CD_PRD;PTGST;DT_EFF_AFN_CNT;DT_EFF_RESIL_CNT;DT_ECH_AN_CNT;CD_APERIT;TXACPT;INDICE_CNT;NBRE_SITES;CDSIREN;CDTRE_CNT;CDNAF;LCI_G;RESEAU;NM_INT;INTERNATIONAL;SOUS_LIMITE_EV_NAT;MONTANT;SOUS_LIMITE;COMMENTAIRE;BATCH;DICID;ID_SITE;NOM_SITE;DT_MAJ_SITE;DATE_VISITE_SITE;STOCK;CDTRE_1;CDNAF_1;CD_SIRET;QUALITE_JURID;USAGE;TYPE_BIEN;TYPE_RESIDENCE;ETAGE;EXCL_RISQ_LOCATIFS;EXCL_RISQ_BAT;NB_PIECE;SURFACE;SURFACE_DPDCE;PRIME_TTC;PRIME_PTF_ANN_HT;BATIMENT_CLASSE;BATIMENT_OCCUPE;PISCINES;HOTEL_NB_ETOILES;HOTEL_RESTAURANT;HOTEL_NB_CHB;LCI_BAT_CLASSE;LCI_GRD_RISQ;LCI_DEPENDANCE;DATE_EFFET_CAPITAUX;INDICE_CAPITAUX_MURS_BATIMENTS;CAPITAUX_MURS_BATIMENTS;CONTENU;INDICE_CAPITAUX_CONTENU;CAPITAUX_CONTENU;INDICE_CAPITAUX_MATERIELS;CAPITAUX_MATERIEL;INDICE_CAPITAUX_MARCHANDISES;CAPITAUX_MARCHANDISES;INDICE_CAPITAUX_ASS_MH_HLL_CARAV;CAPITAUX_ASS_MH_HLL_CARAV;INDICE_CAPITAUX_DEPENDANCE;CAPITAUX_DEPENDANCE;INDICE_CAPITAUX_COMPL;CAPITAUX_COMPL;INDICE_CAPITAUX_DD;CAPITAUX_DD;MARGE_BRUTE;PERIODE_INDEM_PE;CHIFFAFF_SITE;PERTE_LOYER;INDICE_VAL_PE;VAL_PE;SMP_INITIAL;LCI_GLOB;LCI_ATTENTAT;FRANCHISE_GLOB;UNI_FRAN_GLOB;MIN_FRAN_GLOB;MAX_FRAN_GLOB;FRANCHISE_INC;UNI_FRAN_INC;FRANCHISE_DDE;UNI_FRAN_DDE;FRANCHISE_PE;UNI_FRAN_PE;LIMITE_TGN;FRANCHISE_TGN;UNI_FRAN_TGN;MIN_FRAN_TGN;MAX_FRAN_TGN;NUM_VOIE_SITE;RUE_SITE;NUM_RUE_SITE;LIEU_DIT_SITE;CP_SITE;VILLE_SITE;ADRESSE_SITE;PAYS_SITE;COORD_X_SITE;COORD_Y_SITE;QUALITE_GEOCODAGE;LIMITE_INOND;FRANCHISE_INOND;UNI_FRAN_INOND;LIMITE_TREMB;FRANCHISE_TREMB;UNI_FRAN_TREMB;LIMITE_EMEUTES;FRANCHISE_EMEUTES;UNI_FRAN_EMEUTES;LIMITE_TOC;FRANCHISE_TOC;UNI_FRAN_TOC;TYPE_SITE;CEDANTE;ID_GAREAT;APERITEUR;NOM_APERITEUR;POL_APERITEUR;CD_SIREN_SIRET;CDNAF_GAREAT;LIBNAF_GAREAT;CDSIC;LIBSIC;TX_DEROG_ATT;LCI_MULTISITE;CAPITAUX_TT;RSQ_NUCLEAIRE;RSQ_SEVESO;TRC_TRME;MULTI_SITE;PORTEE_LIGNE;CD_GAR_CAR_FOURNIS;GAR_CAR_FOURNIS;CAR_FOURNIS_NNDENOM;CAR_FOURNIS_ENERGIE;CD_CAR_CLIENT;CAR_CLIENT;CAR_CLIENT_NNDENOM;CAR_CLIENT_ENERGIE;COM_GAREAT;CD_LC360;DICID_SITE
1800901;RI&GAR;IMS;2025-03-24;2026-03-03;54460921;"REYNAUD ET FILS";H98409;01065;N20;2014-09-08;;0101;A;100;R.I.;3;602980369;372;;30800000;;AVIGNON;0;;;;;1;BOUVRYN;1;"SAINT DIDIER";2025-06-12;;1;372T1;;;;;;;;N;N;;;;;;N;N;0;0;N;0;;;;;;5613058.43;;;;;11077909.25;;11302739.85;;;;;;;;;;12;;;;10331873.57;;;;;;;;;;;;;;;;;;;620;"Route d'Apt";;;84210;"SAINT DIDIER";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;10331873.57;N;N;N;Oui;;N;;;;O;;;;;;BAULIEA
1800903;RI&GAR;IMS;2025-03-24;2026-03-03;54460921;"REYNAUD ET FILS";H98409;01065;N20;2014-09-08;;0101;A;100;R.I.;3;602980369;372;;30800000;;AVIGNON;0;;;;;1;BOUVRYN;2;MONTBRUN;2025-06-12;2025-07-23;1;372T1;;;NR;;;;;N;N;;;;;;N;N;0;0;N;0;;;;2025-07-23;;2566849.14;;;;;1900467.46;;7138572.32;;;;;;;;;;12;;;;4283483.24;;;;;;;;;;;;;;;;;;;"70 ";"Chemin d’Entressargue-Seramian";;"ROUTE DE FERRASSIERE";26570;"MONTBRUN LES BAINS";;FRANCE;;;;;;;;;;;;;;;;SECONDAIRE;"Allianz France";H016;O;;;;;;;;;Oui;4283483.24;N;N;N;Oui;NSP;N;;;;O;;;;;;BAULIEA
1800905;RI&GAR;IMS;2025-03-24;2026-03-03;54460921;"REYNAUD ET FILS";H98409;01065;N20;2014-09-08;;0101;A;100;R.I.;3;602980369;372;;30800000;;AVIGNON;0;;;;;1;BOUVRYN;3;"BATIMENT DE STOCKAGE";2025-06-12;;1;980T6;;;;;;;;N;N;;;;;;N;N;0;0;N;0;;;;;;1844131.31;;;;;64008.57;;4759047.88;;;;;;;;;;12;;;;2460715.18;;;;;;;;;;;;;;;;;;;275;"RUE DES CHENES KERMES";;;84210;"SAINT DIDIER";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;2460715.18;N;N;N;Oui;;N;;;;O;;;;;;BAULIEA
987521;PROF;V5;2022-11-30;2026-03-03;58808143;"THEVENET FILS";;01041;N07;2018-01-01;;01/04;A;100;F.F.B.;3;;;;0;Courtage;;0;;;;;0;DHORNEC;1;"PARAY LE MONIAL";2023-01-11;;1;;;;LOC;S;;;;N;N;;670;;;;N;N;0;0;N;0;;;;;;;;;145450;;;;;;;;;;;;;;;;;;83750;;5900000;;;;;;;;;;;;;;;;;2;"RUE PIERRE LATHUILERE";;;71600;"PARAY LE MONIAL";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;83750;N;N;N;Oui;;N;;;;O;;;;;;DHORNEC
987522;PROF;V5;2022-11-30;2026-03-03;58808143;"THEVENET FILS";;01041;N07;2018-01-01;;01/04;A;100;F.F.B.;3;;;;0;Courtage;;0;;;;;0;DHORNEC;2;"VARENNES LE GRAND";2023-01-11;;1;;;;LOC;S;;;;N;N;;250;;;;N;N;0;0;N;0;;;;;;;;;62500;;;;;;;;;;;;;;;;;;31250;;5900000;;;;;;;;;;;;;;;;;;"ROUTE NATIONALE";;;71240;"VARENNES LE GRAND";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;31250;N;N;N;Oui;;N;;;;O;;;;;;DHORNEC
987523;PROF;V5;2022-11-30;2026-03-03;58808143;"THEVENET FILS";;01041;N07;2018-01-01;;01/04;A;100;F.F.B.;3;;;;0;Courtage;;0;;;;;0;DHORNEC;3;"PARAY LE MONIAL";2023-01-11;;1;;;;LOC;BUR;;;;N;N;;161;;;;N;N;0;0;N;0;;;;;;;;;40250;;;;;;;;;;;;;;;;;;20125;;5900000;;;;;;;;;;;;;;;;;41;"RUE PEIRRE LATHILLERE";;;71600;"PARAY LE MONIAL";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;20125;N;N;N;Oui;;N;;;;O;;;;;;DHORNEC
987518;PROF;V5;2022-11-30;2026-03-03;58854099;SCHNEIDER;;01041;N07;2017-07-01;;01/01;A;100;F.F.B.;3;;;;0;Courtage;;0;;;;;0;DHORNEC;1;"VIRY CHATILLON";2023-01-11;;1;;;;LOC;BS;;;;N;N;;4705;;;;N;N;0;0;N;0;;;;;;;;;600000;;;;;;;;;;;;;;;0;;;;;15000000;;;;;;;;;;;;;;;;;1-7;"RUE PASTEUR";;;91170;"VIRY CHATILLON";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;DHORNEC
987519;PROF;V5;2022-11-30;2026-03-03;58854099;SCHNEIDER;;01041;N07;2017-07-01;;01/01;A;100;F.F.B.;3;;;;0;Courtage;;0;;;;;0;DHORNEC;2;"VIRY CHATILLON";2023-01-11;;1;;;;LOC;AUT;;;;N;N;;1308;;;;N;N;0;0;N;0;;;;;;;;;100000;;;;;;;;;;;;;;;0;;;;;15000000;;;;;;;;;;;;;;;;;5-7;"RUE ARGOT";;;91170;"VIRY CHATILLON";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;DHORNEC
987520;PROF;V5;2022-11-30;2026-03-03;58854099;SCHNEIDER;;01041;N07;2017-07-01;;01/01;A;100;F.F.B.;3;;;;0;Courtage;;0;;;;;0;DHORNEC;3;PALAISEAU;2023-01-11;;1;;;;LOC;S;;;;N;N;;50;;;;N;N;0;0;N;0;;;;;;;;;10000;;;;;;;;;;;;;;;0;;;;;15000000;;;;;;;;;;;;;;;;;69;"RUE ALEXANDRE NEREAU";;;91120;PALAISEAU;;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;DHORNEC
1220053;IMM;IMS;2025-05-12;2026-03-03;60361231;"MARTIN GESTION";170009;01056;N26;2019-05-31;;0101;A;100;F.F.B.;3;;975A;L;19900000;;"AXILE SOGERAC COURTA";0;;;;;1;CB;a-1;"SAINT PIERRE";2024-04-02;;1;;;;;HBC;ICP;;;N;N;;2300;;;;N;N;0;0;N;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;" RUE GASTON DOUMERGUE";"73 RUE GASTON DOUMERGUE";;31350;TOURNEFEUILLE;;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;BARILLE
1220054;IMM;IMS;2025-05-12;2026-03-03;60361231;"MARTIN GESTION";170009;01056;N26;2019-05-31;;0101;A;100;F.F.B.;3;;975A;L;19900000;;"AXILE SOGERAC COURTA";0;;;;;1;CB;a-2;MASSENET;2024-04-02;;1;;;;;HBC;ICP;;;N;N;;7120;;;;N;N;0;0;N;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6-8;" RUE MASSENET ET 7 A 13 RUE DU COLONEL DRIANT";"6-8 RUE MASSENET ET 7 A 13 RUE DU COLONEL DRIANT";;31540;TOULOUSE;;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;BARILLE
1220055;IMM;IMS;2025-05-12;2026-03-03;60361231;"MARTIN GESTION";170009;01056;N26;2019-05-31;;0101;A;100;F.F.B.;3;;975A;L;19900000;;"AXILE SOGERAC COURTA";0;;;;;1;CB;a-3;"JARDINS DU BARRY";2024-04-02;;1;;;;;HBC;ICP;;;N;N;;3081;;;;N;N;0;0;N;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;" RUE ERNEST DUFER BAT E";"3 RUE ERNEST DUFER BAT E";;31800;TOULOUSE;;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;BARILLE
210632;;IMS;2022-03-21;2026-03-03;56200866;"AGCNAM DE RHONE ALPES";152099;01062;N07;2016-01-01;;0101;A;100;;3;;;;0;COURTAGE;"DIOT RHONE-ALPES";0;;;;;1;;1;"RUE RAVIER";2020-03-20;;1;;;;LOC;;;;;N;N;;2750;;;;N;N;0;0;N;0;;;;;;;;;260,000;;;;;;;;;;;;;;;;;;72000;;;;;;;;;;;;;;;;;;;4;;;"LE CUBIX";69007;LYON;;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;non;;;;;;;;;Oui;72000;NON;NON;NON;Oui;;NON;;;;NON;;;;;;
210633;;IMS;2022-03-21;2026-03-03;56200866;"AGCNAM DE RHONE ALPES";152099;01062;N07;2016-01-01;;0101;A;100;;3;;;;0;COURTAGE;"DIOT RHONE-ALPES";0;;;;;1;;2;"RUE ROBINSON";2020-03-20;;1;;;;LOC;;;;;N;N;;298;;;;N;N;0;0;N;0;;;;;;;;;46,000;;;;;;;;;;;;;;;;;;21000;;;;;;;;;;;;;;;;;;;24;;;;42100;"ST ETIENNE";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;non;;;;;;;;;Oui;21000;NON;NON;NON;Oui;;NON;;;;NON;;;;;;
210634;;IMS;2022-03-21;2026-03-03;56200866;"AGCNAM DE RHONE ALPES";152099;01062;N07;2016-01-01;;0101;A;100;;3;;;;0;COURTAGE;"DIOT RHONE-ALPES";0;;;;;1;;10;"RUE DES PEUPLIERS";2020-03-20;;1;;;;LOC;;;;;N;N;;408;;;;N;N;0;0;N;0;;;;;;;;;60,000;;;;;;;;;;;;;;;;;;20000;;;;;;;;;;;;;;;;;;;6;;;"1 RUE DES TREMBLES";38000;GRENOBLE;;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;non;;;;;;;;;Oui;20000;NON;NON;NON;Oui;;NON;;;;NON;;;;;;
987508;PROF;V5;2022-12-01;2026-03-03;58985273;"SOCIETE D'EXPLOITATION";;01041;N07;2018-02-12;;12/02;A;100;F.F.B.;3;;;;0;Courtage;;0;;;;;0;DHORNEC;1;Antibes;2023-01-11;;1;;;;LOC;HOT;;;;N;N;;3554;;;;N;N;0;0;N;0;;;;;;;;;750000;;;;;;;;;;;;;;;927000;;;834300;;19900000;;;;;;;;;;;;;;;;;26;"Av Gaston Bourgeois Hotel Wilson";;;06600;Antibes;;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;834300;N;N;N;Oui;;N;;;;O;;;;;;DHORNEC
987509;PROF;V5;2022-12-01;2026-03-03;58985273;"SOCIETE D'EXPLOITATION";;01041;N07;2018-02-12;;12/02;A;100;F.F.B.;3;;;;0;Courtage;;0;;;;;0;DHORNEC;2;"St Laurent du Var";2023-01-11;;1;;;;LOC;HOT;;;;N;N;;2120;;;;N;N;0;0;N;0;;;;;;;;;500000;;;;;;;;;;;;;;;638000;;;574200;;19900000;;;;;;;;;;;;;;;;;45;"Av François Béranger Hotel St Laurent";;;06700;"St Laurent  du Var";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;574200;N;N;N;Oui;;N;;;;O;;;;;;DHORNEC
987510;PROF;V5;2022-12-01;2026-03-03;58985273;"SOCIETE D'EXPLOITATION";;01041;N07;2018-02-12;;12/02;A;100;F.F.B.;3;;;;0;Courtage;;0;;;;;0;DHORNEC;3;"Ris Orangis";2023-01-11;;1;;;;LOC;HOT;;;;N;N;;2090;;;;N;N;0;0;N;0;;;;;;;;;800000;;;;;;;;;;;;;;;1300000;;;1170000;;19900000;;;;;;;;;;;;;;;;;8;"Rue du Clos  Hotel Ris orangis";;;91130;"Ris Orangis";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;1170000;N;N;N;Oui;;N;;;;O;;;;;;DHORNEC
538007;IMM;IMS;2023-04-26;2026-03-03;61548180;AGESTIS;170009;01056;N26;2021-01-01;2023-01-01;0101;A;100;F.F.B.;3;;975A;L;44900000;;"AXILE SOGERAC COURTA";0;;;;;1;SUCHET;1;"MONT DORE 52";2021-06-04;;1;;;;;HBC;IMM;;;N;N;;13200;;;;N;N;0;0;N;0;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1/21;" RUE MONT DORE";"1/21 RUE MONT DORE";;31100;TOULOUSE;;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;CHALAND
538008;IMM;IMS;2023-04-26;2026-03-03;61548180;AGESTIS;170009;01056;N26;2021-01-01;2023-01-01;0101;A;100;F.F.B.;3;;975A;L;44900000;;"AXILE SOGERAC COURTA";0;;;;;1;SUCHET;2;"BUTTE DE BONNEFOY";2021-06-04;;1;;;;;HBC;IMM;;;N;N;;10164;;;;N;N;0;0;N;0;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;" RUE COLONEL TOUSSAINT";"15 RUE COLONEL TOUSSAINT";;31500;TOULOUSE;;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;CHALAND
538009;IMM;IMS;2023-04-26;2026-03-03;61548180;AGESTIS;170009;01056;N26;2021-01-01;2023-01-01;0101;A;100;F.F.B.;3;;975A;L;44900000;;"AXILE SOGERAC COURTA";0;;;;;1;SUCHET;3;HIPPODROME;2021-06-04;;1;;;;;HBC;IMM;;;N;N;;29574;;;;N;N;0;0;N;0;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;" IMPASSE ROQUEMAUREL";"119 IMPASSE ROQUEMAUREL";;31300;TOULOUSE;;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;CHALAND
727910;PROF;;2022-12-01;2026-03-03;56927006;"CER DU CHATEAU";481147;01062;N07;2016-05-01;;0105;A;100;F.F.B.;3;;;;0;Courtage;;0;;;;;0;"QUIRIN J";1;"NEUILLY SAINT FRONT";2022-12-01;;1;;;;LOC;E;;;;N;N;;98;;;;N;N;0;0;N;0;;;;;;;;;15000;;;;;;;;;;;;;;;NonRenseigné;;;;;;;;;;;;;;;;;;;;;;11;"RUE DU CHATEAU";;;02470;"NEUILLY SAINT FRONT";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;QUIRINJ
727911;PROF;;2022-12-01;2026-03-03;56927006;"CER DU CHATEAU";481147;01062;N07;2016-05-01;;0105;A;100;F.F.B.;3;;;;0;Courtage;;0;;;;;0;"QUIRIN J";2;"VILLERS COTTERETS";2022-12-01;;1;;;;LOC;E;;;;N;N;;98;;;;N;N;0;0;N;0;;;;;;;;;15000;;;;;;;;;;;;;;;NonRenseigné;;;;;;;;;;;;;;;;;;;;;;83;"RUE DU GENERAL LECLERC";;;02600;"VILLERS COTTERETS";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;QUIRINJ
727912;PROF;;2022-12-01;2026-03-03;56927006;"CER DU CHATEAU";481147;01062;N07;2016-05-01;;0105;A;100;F.F.B.;3;;;;0;Courtage;;0;;;;;0;"QUIRIN J";3;"VILLERS COTTERETS";2022-12-01;;1;;;;LOC;E;;;;N;N;;98;;;;N;N;0;0;N;0;;;;;;;;;15000;;;;;;;;;;;;;;;NonRenseigné;;;;;;;;;;;;;;;;;;;;;;2;"RUE DU GENERAL LECLERC";;;02600;"VILLERS COTTERETS";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;QUIRINJ
1013755;RI&GAR;IMS;2020-03-31;2026-03-03;59992126;OPALFI;4C2054;01065;N20;2019-01-01;;0101;A;100;;3;484957006;*299;;0;COURTAGE;"MVRA FRANCE";0;;;;;1;;777857;"LYON, 24 AVENUE JOANNES MASSET";2023-06-06;;1;299T3;;;;MCP;;;;N;N;;;;;;N;N;0;0;N;0;;;;;;4287420.80;;;2675504.55;;208696.94;;2466807.60;;;;;;;;6962925.35;4398792;18;;;;6598188;;;;;;;;;;;;;;;;;;;24;"Avenue Joannes Masset";"24 Avenue Joannes Masset";;69009;Lyon;"24 Avenue Joannes Masset, 69009 Lyon";FRANCE;4.80083;45.76971;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;13561113.35;O;O;N;Oui;;N;;;;O;;;;;;MAGNINJ
1013756;RI&GAR;IMS;2020-03-31;2026-03-03;59992126;OPALFI;4C2054;01065;N20;2019-01-01;;0101;A;100;;3;484957006;*299;;0;COURTAGE;"MVRA FRANCE";0;;;;;1;;777855;"LIMONEST, 145 ALLEE DES CHENES";2023-06-06;;1;299T3;;;;MCP;;;;N;N;;;;;;N;N;0;0;N;0;;;;;;7026392.71;;;4384721.98;;342020.24;;4042701.74;;;;;;;;11411114.69;7208914;18;;;;10813371;;;;;;;;;;;;;;;;;;;145;"Allée Des Chênes";"145 Allée Des Chênes";;69760;Limonest;"145 Allée Des Chênes, 69760 Limonest";FRANCE;4.77297;45.80824;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;22224485.69;O;O;N;Oui;;N;;;;O;;;;;;MAGNINJ
1013757;RI&GAR;IMS;2020-03-31;2026-03-03;59992126;OPALFI;4C2054;01065;N20;2019-01-01;;0101;A;100;;3;484957006;*299;;0;COURTAGE;"MVRA FRANCE";0;;;;;1;;777856;"VILIERS SUR MARNE, 3 BD GEORGES MELIES";2023-06-06;;1;299T3;;;;MCP;;;;N;N;;;;;;N;N;0;0;N;0;;;;;;2254723.62;;;1407028.23;;109751.61;;1297276.61;;;;;;;;3661751.86;2313294;18;;;;3469941;;;;;;;;;;;;;;;;;;;3;"Boulevard Georges Méliès";"3 Boulevard Georges Méliès";;94350;Villiers-sur-Marne;"3 Boulevard Georges Méliès, 94350 Villiers-sur-Marne";FRANCE;2.53697;48.83661;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;7131692.86;O;O;N;Oui;;N;;;;O;;;;;;MAGNINJ
163000;RI&GAR;V5;2022-03-21;2026-03-03;ZG01214672;"SAINTE ANNE";4F2233;01121;N25;1998-01-01;;0101;A;100;R.I.;3;;;;0;;"NAP CC";0;;;;;1;;1;;2018-06-01;;1;;;;PNO;NR;A;;;N;N;;130;;166;;N;N;0;0;N;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40/42;"rue de la colonne";;;62200;"BOULOGNE SUR MER";;;;;;;;;;;;;;;;;;;"Allianz France";H016;oui;;;;;;;;;Oui;;NON;NON;NON;Oui;;NON;;;;NON;;;;;;
163001;RI&GAR;V5;2022-03-21;2026-03-03;ZG01214672;"SAINTE ANNE";4F2233;01121;N25;1998-01-01;;0101;A;100;R.I.;3;;;;0;;"NAP CC";0;;;;;1;;2;;2018-06-01;;1;;;;PNO;NR;A;;;N;N;;130;;166;;N;N;0;0;N;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;"rue de la colonne";;;62200;"BOULOGNE SUR MER";;;;;;;;;;;;;;;;;;;"Allianz France";H016;oui;;;;;;;;;Oui;;NON;NON;NON;Oui;;NON;;;;NON;;;;;;
163002;RI&GAR;V5;2022-03-21;2026-03-03;ZG01214672;"SAINTE ANNE";4F2233;01121;N25;1998-01-01;;0101;A;100;R.I.;3;;;;0;;"NAP CC";0;;;;;1;;3;;2018-06-01;;1;;;;PNO;NR;A;;;N;N;;235;;301;;N;N;0;0;N;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;"rue Beaurepaire";;;62200;"BOULOGNE SUR MER";;;;;;;;;;;;;;;;;;;"Allianz France";H016;oui;;;;;;;;;Oui;;NON;NON;NON;Oui;;NON;;;;NON;;;;;;
1114642;RI&GAR;;2024-03-08;2026-03-03;053160148;"SAS MONTEDIS";H96118;00640;N17;;;;A;100;R.I.;3;;;;0;;P+;0;;;;;0;"SAS MONTEDIS";1034257;"CC ELECLERC";2024-03-08;2025-07-11;1;964T1;;;NR;MCP;;;;N;N;;3889;;;;N;N;0;0;N;0;;;;2025-07-11;;4861248;;;5249933;;3172976;;2700000;;;;;;;;10075878;7500000;24;;;;15000000;;35000000;;;;;;;;;;;;;;;;;;"Rue Du Clos Rose";"Rue Du Clos Rose";;77144;Montévrain;"Rue Du Clos Rose, 77144 Montévrain";FRANCE;2.755123;48.852962;;;;;;;;;;;;;;SECONDAIRE;"Allianz France";H016;O;;;;;;;;;Oui;25075878;O;O;N;Oui;NSP;N;;;;O;;;;;;COLINAR
1114643;RI&GAR;;2024-03-08;2026-03-03;053160148;"SAS MONTEDIS";H96118;00640;N17;;;;A;100;R.I.;3;;;;0;;P+;0;;;;;0;"SAS MONTEDIS";1034399;"DRIVE TORCY";2024-03-08;2025-07-11;1;964T1;;;NR;MCP;;;;N;N;;;;;;N;N;0;0;N;0;;;;2025-07-11;;407097;;;650000;;507375;;433000;;;;;;;;1050000;0;12;;;;0;;35000000;;;;;;;;;;;;;;;;;;"Rue Léon Blum";"Rue Léon Blum";;77200;Torcy;"Rue Léon Blum, 77200 Torcy";FRANCE;2.635225;48.83234;;;;;;;;;;;;;;SECONDAIRE;"Allianz France";H016;O;;;;;;;;;Oui;1050000;O;O;N;Oui;NSP;N;;;;O;;;;;;COLINAR
1114644;RI&GAR;;2024-03-08;2026-03-03;053160148;"SAS MONTEDIS";H96118;00640;N17;;;;A;100;R.I.;3;;;;0;;P+;0;;;;;0;"SAS MONTEDIS";1034486;"DRIVE LAGNY";2024-03-08;2025-07-11;1;964T1;;;NR;MCP;;;;N;N;;;;;;N;N;0;0;N;0;;;;2025-07-11;;570173;;;608087;;508087;;254000;;;;;;;;1178261;0;12;;;;0;;35000000;;;;;;;;;;;;;;;;;;"Rue Du Gravier Du Bac";"Rue Du Gravier Du Bac";;77515;Saint-Thibault-des-Vignes;"Rue Du Gravier Du Bac, 77400 Saint-Thibault-des-Vignes";FRANCE;2.67899;48.87094;;;;;;;;;;;;;;SECONDAIRE;"Allianz France";H016;O;;;;;;;;;Oui;1178261;O;O;N;Oui;NSP;N;;;;O;;;;;;COLINAR
203409;RI&GAR;IMS;2022-03-21;2026-03-03;56024690;"T S A INOX";190086;00640;N31;2016-01-01;2022-01-01;0101;A;100;R.I.;3;340069665;208;;0;;"GRAS SAVOYE";1;;;ANNUELLE;;1;"Arnaud DACZKOWSKI";1;;2019-01-01;;1;;;;PO;A;;;;N;N;;;;15411;;N;N;0;0;N;0;;;;;;;;;9302100;;;;;;;;;;;;15095000;;;;;;1;;;;;EURO;;;;;;;;;;;;;;8;"Rue Jules Py";;;88210;Moussey;;;;;;;;;;;;;;;;;;;"Allianz France";H016;oui;;;;;;;;;Oui;;NON;NON;NON;Oui;;NON;;;;NON;;;;;;
203410;RI&GAR;IMS;2022-03-21;2026-03-03;56024690;"T S A INOX";190086;00640;N31;2016-01-01;2022-01-01;0101;A;100;R.I.;3;340069665;208;;0;;"GRAS SAVOYE";1;;;ANNUELLE;;1;"Arnaud DACZKOWSKI";2;;2019-01-02;;1;;;;PO;A;;;;N;N;;;;15411;;N;N;0;0;N;0;;;;;;;;;5012550;;;;;;;;;;;;1283295;;;;;;1;;;;;EURO;;;;;;;;;;;;;;;"Rue du général Bradley";;;44110;Chateaubriant;;;;;;;;;;;;;;;;;;;"Allianz France";H016;oui;;;;;;;;;Oui;;NON;NON;NON;Oui;;NON;;;;NON;;;;;;
